,username,tweets,similarity,mentioned,class
423,tonoblk,1,1.0,2,1
424,towew16,1,1.0,0,1
425,trie69248827,1,0.9999999999999998,0,1
426,tugi_saputra,2,0.9082482904638631,2,1
427,tunkuadam99,1,1.0,0,1
428,uchlim_,2,0.658113883008419,0,1
429,ulamaaswaja,8,0.3183537417376451,4,1
430,ulamapembela,1,0.9999999999999998,1,1
431,ullul4343,1,1.0,45,1
432,ully_alattas,1,1.0000000000000002,1,1
433,umar_agil,1,0.9999999999999998,9,1
434,ungip,1,0.9999999999999998,0,1
435,utiah_mak,1,1.0000000000000002,0,1
436,vay43078800,1,1.0000000000000002,0,1
437,wahiidin,1,1.0,0,1
438,wakuban15,1,0.9999999999999999,0,1
439,wangsaindria,1,0.9999999999999998,0,1
441,what_it_take,1,1.0000000000000002,0,1
442,widdya_rf,1,0.9999999999999998,0,1
443,widog798,3,1.0,1,1
444,wiwin_dilevo,3,0.6545920873301597,5,1
445,yandrad31,1,1.0,9,1
447,yangmoelia_cs,17,0.49981010469533027,37,1
448,ybab_syddad,2,0.9529108136578384,0,1
449,yded5758,18,0.7318097899856112,53,1
450,yogibudiharto,1,0.9999999999999999,0,1
451,yomnorman,4,0.5572905135015876,16,1
452,yuliereborn,1,0.9999999999999998,1,1
453,yusli53117720,2,0.7311250817605122,3,1
454,zarnaout45,1,1.0,1,1
455,zulham04007888,1,1.0,0,1
456,zulhamkenzo,1,0.9999999999999998,2,1
